State / Union Territory,Capital,Type,Population,Male,Female,Sex Ratio,Literacy Rate,Rural Population,Urban Population,Area (kmÂ²),Population Density,Decade Growth (%)
Uttar Pradesh,Lucknow,State,199812341,104480510,95331831,912,67.68,155111022,44470455,240928,828,20.1
Maharashtra,Mumbai,State,112374333,58243056,54131277,929,82.34,61545441,50827531,307713,365,16.0
Bihar,Patna,State,104099452,54278157,49821295,918,61.8,92075028,11729609,94163,1102,25.1
West Bengal,Kolkata,State,91276115,46809027,44467088,950,76.26,62213676,29134060,88752,1030,13.9
Andhra Pradesh,Hyderabad,State,84580777,42442146,42138631,993,67.02,56361702,28219075,275045,308,10.98
Madhya Pradesh,Bhopal,State,72626809,37612306,35014503,931,69.32,52537899,20059666,308245,236,20.3
Tamil Nadu,Chennai,State,72147030,36137975,36009055,996,80.09,37189229,34949729,130058,555,15.6
Rajasthan,Jaipur,State,68548437,35550997,32997440,928,66.11,51540236,17080776,342239,201,21.4
Karnataka,Bengaluru,State,61095297,30966657,30128640,973,75.36,37552529,23578175,191791,319,15.7
Gujarat,Gandhinagar,State,60439692,31491260,28948432,919,78.03,34670817,25712811,196024,308,19.2
Odisha,Bhubaneshwar,State,41974218,21212136,20762082,979,72.87,34951234,6996124,155707,269,14.0
Kerala,Thiruvananthapuram,State,33406061,16027412,17378649,"1,084",94.0,17445506,15932171,38863,859,4.9
Jharkhand,Ranchi,State,32988134,16930315,16057819,948,66.41,25036946,7929292,79714,414,22.3
Assam,Dispur,State,31205576,15939443,15266133,958,72.19,26780526,4388756,78438,397,16.9
Punjab,Chandigarh,State,27743338,14639465,13103873,895,75.84,17316800,10387436,50362,550,13.7
Chhattisgarh,Raipur,State,25545198,12832895,12712303,991,70.28,19603658,5936538,135191,189,22.6
Haryana,Chandigarh,State,25351462,13494734,11856728,879,75.55,16531493,8821588,44212,573,19.9
Delhi,Delhi,UT,16787941,8887326,7800615,868,86.21,944727,12905780,1484,11297,21.0
Jammu and Kashmir,"Jammu(winter)
Srinagar(summer)",State,12541302,6640662,5900640,889,67.16,9134820,3414106,222236,56,23.7
Uttarakhand,Dehradun,State,10086292,5137773,4948519,963,79.63,7025583,3091169,53483,189,19.2
Himachal Pradesh,Shimla,State,6864602,3481873,3382729,972,82.8,6167805,688704,55673,123,12.8
Tripura,Agartala,State,3673917,1874376,1799541,960,87.22,2710051,960981,10486,350,14.7
Meghalaya,Shillong,State,2966889,1491832,1475057,989,74.43,2368971,595036,22429,132,27.8
Manipur,Imphal,State,2721756,1290171,1280219,992,79.21,1899624,822132,22327,122,18.7
Nagaland,Kohima,State,1978502,1024649,953853,931,79.55,1406861,573741,16579,119,-0.5
Goa,Panaji,State,1458545,739140,719405,973,88.7,551414,906309,3702,394,8.2
Arunachal Pradesh,Itanagar,State,1383727,713912,669815,938,65.38,1069165,313446,83743,17,25.9
Puducherry,Pondicherry,UT,1247953,612511,635442,"1,037",85.85,394341,850123,479,2598,27.7
Mizoram,Aizawl,State,1097206,555339,541867,976,91.33,529037,561997,21081,52,22.8
Chandigarh,Chandigarh,UT,1055450,580663,474787,818,86.05,29004,1025682,114,9252,17.1
Sikkim,Gangtok,State,610577,323070,287507,890,81.42,455962,151726,7096,86,12.4
Andaman and Nicobar Islands,Port Blair,UT,380581,202871,177710,876,86.63,244411,135533,8249,46,6.7
Dadra and Nagar Haveli,Silvassa,UT,343709,193760,149949,774,76.24,183024,159829,491,698,55.5
Daman and Diu,Daman,UT,243247,150301,92946,618,87.1,60331,182580,112,2169,53.5
Lakshadweep,Kavaratti,UT,64473,33123,31350,946,91.85,14121,50308,32,2013,6.2
